STATE,COUNTY,TRACT,BLOCK_GROUP,NAME,GEOID,GEOIDbg,total_pop,total_occupied,total_occupied_renter,total_occupied_owner,total_vacant,seasonal_vacancy,total_dwellings,income_median,moveinyear_all_trimean,moveinyear_owner_trimean,moveinyear_renter_trimean,moveinyear_pct_new_all,moveinyear_pct_new_owner,moveinyear_pct_new_total_owner,moveinyear_pct_new_renter,moveinyear_pct_new_total_renter,rent_lower_quartile,rent_median,rent_upper_quartile,rent_trimean,rentpctincome_median,seasonal_vacancy_pct
36,021,001400,1,Block Group 1; Census Tract 14; Columbia County; New York,36021001400,360210014001,1519,674,254,420,124,70,798,66518.0,2008.0,1999.0,2014.0,0.0,0.0,0.0,0.0,0.0,570.0,591.0,644.0,599.0,0.5188638832275703,0.08771929824561403
36,021,001400,2,Block Group 2; Census Tract 14; Columbia County; New York,36021001400,360210014002,1387,561,177,384,82,82,643,59583.0,2006.0,2002.0,2010.0,0.07130124777183601,0.026041666666666668,0.017825311942959002,0.1694915254237288,0.053475935828877004,818.0,1279.0,1477.0,1213.25,0.43390543154057076,0.12752721617418353
36,021,001400,3,Block Group 3; Census Tract 14; Columbia County; New York,36021001400,360210014003,724,289,53,236,177,88,466,78207.0,2015.0,2016.0,2010.0,0.031141868512110725,0.038135593220338986,0.031141868512110725,0.0,0.0,953.0,1066.0,1158.0,1060.75,0.2967086120343604,0.1888412017167382
36,021,001500,1,Block Group 1; Census Tract 15; Columbia County; New York,36021001500,360210015001,562,241,20,221,160,127,401,100375.0,2003.0,2004.0,1987.0,0.024896265560165973,0.027149321266968326,0.024896265560165973,0.0,0.0,881.5,923.5,978.25,926.6875,0.20335150705846936,0.3167082294264339
36,021,001500,2,Block Group 2; Census Tract 15; Columbia County; New York,36021001500,360210015002,693,288,60,228,128,103,416,87500.0,2008.0,2006.0,2013.0,0.010416666666666666,0.0,0.0,0.05,0.010416666666666666,834.0,893.0,1473.0,1023.25,0.2281838931811065,0.24759615384615385
36,021,001600,1,Block Group 1; Census Tract 16; Columbia County; New York,36021001600,360210016001,1537,509,161,348,208,152,717,109612.0,2007.0,2002.0,2014.0,0.0,0.0,0.0,0.0,0.0,823.0,924.0,1300.0,992.75,0.21909760114534838,0.21199442119944212
36,021,001600,2,Block Group 2; Census Tract 16; Columbia County; New York,36021001600,360210016002,735,398,35,363,155,131,553,121765.0,2003.0,2002.0,2008.0,0.04020100502512563,0.0440771349862259,0.04020100502512563,0.0,0.0,1030.0,1121.0,1211.0,1120.75,0.17446966383405885,0.23688969258589512
36,021,001600,3,Block Group 3; Census Tract 16; Columbia County; New York,36021001600,360210016003,547,295,88,207,136,59,431,42554.0,2006.0,2006.0,2007.0,0.023728813559322035,0.033816425120772944,0.023728813559322035,0.0,0.0,838.0,908.0,954.0,902.0,0.2947160340561601,0.1368909512761021
36,021,001600,4,Block Group 4; Census Tract 16; Columbia County; New York,36021001600,360210016004,534,222,0,222,332,303,554,125403.0,2010.0,2010.0,,0.09009009009009009,0.09009009009009009,0.09009009009009009,,,,,,,,0.5469314079422383
36,021,001700,1,Block Group 1; Census Tract 17; Columbia County; New York,36021001700,360210017001,834,288,43,245,199,145,487,81875.0,2008.0,2006.0,2012.0,0.034722222222222224,0.04081632653061224,0.034722222222222224,0.0,0.0,368.0,964.0,1063.0,839.75,0.23010340840662646,0.29774127310061604
36,021,001700,2,Block Group 2; Census Tract 17; Columbia County; New York,36021001700,360210017002,606,247,25,222,199,133,446,89135.0,1999.0,1998.0,2014.0,0.024291497975708502,0.009009009009009009,0.008097165991902834,0.16,0.016194331983805668,842.0,904.0,952.0,900.5,0.3356761489799186,0.2982062780269058
36,021,001800,1,Block Group 1; Census Tract 18; Columbia County; New York,36021001800,360210018001,380,165,7,158,204,140,369,113375.0,1996.0,1996.0,2017.0,0.024242424242424242,0.02531645569620253,0.024242424242424242,0.0,0.0,764.0,778.0,1407.25,931.8125,0.13383605091204037,0.3794037940379404
