zipcode,pct_small_farms,pct_medium_farms,pct_large_farms,pct_low_sales_farms,pct_medium_sales_farms,pct_high_sales_farms,total_operators,pct_full_owner_operators,pct_part_owner_operators,pct_tenant_operators,pct_full_time_farmers
12428,-0.6666666666666667,0.6666666666666666,0.0,0.2666666666666667,-0.26666666666666666,0.0,12.0,0.2666666666666667,-0.26666666666666666,0.0,0.6666666666666666
12726,0.26666666666666666,-0.2666666666666666,0.0,0.0,0.0,0.0,2.0,0.5734265734265734,-0.5734265734265734,0.0,0.5104895104895104
12762,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
12751,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-1.0
12421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
12513,-0.2222222222222222,0.2222222222222222,0.0,0.0,-0.1111111111111111,0.1111111111111111,6.0,-0.11111111111111116,0.1111111111111111,0.0,-0.11111111111111094
12173,0.1428571428571429,0.0,-0.14285714285714285,-0.012987012987012991,0.10389610389610388,-0.09090909090909091,-4.0,-0.16883116883116883,-0.07792207792207795,0.24675324675324672,0.4545454545454546
12195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12498,0.0,0.0,0.0,-0.2333333333333334,0.23333333333333336,0.0,4.0,0.16666666666666663,-0.16666666666666666,0.0,0.23333333333333317
12490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12477,0.014285714285714346,-0.014285714285714263,0.0,-0.02882483370288247,-0.0014781966001478075,0.030303030303030304,-8.0,0.28159645232815966,-0.019216555801921664,-0.26237989652623794,0.20768662232076873
12791,-0.2666666666666666,0.26666666666666666,0.0,-0.11111111111111116,0.1111111111111111,0.0,-5.0,-0.2698412698412699,0.2698412698412699,0.0,0.2857142857142857
12741,-0.3333333333333333,0.33333333333333337,0.0,0.33333333333333337,-0.3333333333333333,0.0,1.0,-0.08333333333333331,0.08333333333333337,0.0,-0.25
12776,0.1515151515151516,-0.1515151515151515,0.0,0.0,0.0,0.0,-4.0,0.0028011204481792618,-0.0028011204481792618,0.0,-0.5630252100840336
12733,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-2.0
12481,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0
12494,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.0
12701,0.0,0.0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
12406,-0.5,0.5,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0
12764,0.35,-0.35,0.0,0.30000000000000004,-0.3,0.0,2.0,0.09999999999999998,-0.09999999999999998,0.0,-0.025000000000000022
12487,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.11764705882352944,0.11764705882352941,0.0,0.9098039215686275
12429,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0
12471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12743,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0
12453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12765,0.22499999999999998,0.0,-0.22499999999999998,0.050000000000000044,0.125,-0.175,-2.0,-0.44999999999999996,0.07500000000000001,0.375,0.07499999999999996
12076,0.2377622377622377,-0.23776223776223776,0.0,0.03125,0.0,-0.03125,-16.0,-0.03125,0.03125,0.0,0.59375
12759,0.0,-1.0,0.0,-1.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-1.0
12449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12724,-0.380952380952381,0.38095238095238093,0.0,-0.19047619047619047,0.19047619047619047,0.0,5.0,-0.3571428571428571,0.35714285714285715,0.0,0.23809523809523808
12483,0.0,0.0,0.0,-1.0,0.0,0.0,-6.0,-1.0,0.0,0.0,0.0
12465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12446,-0.1923076923076923,0.1923076923076923,0.0,-0.26476190476190475,0.22476190476190477,0.04,4.0,-0.09904761904761905,0.10666666666666669,-0.007619047619047616,-0.07428571428571429
12752,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,1.0
12486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0
12017,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
12491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12738,-0.5,-0.5,0.0,0.25,0.0,-0.25,-1.0,0.75,-0.75,0.0,-0.5
12475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12455,0.17948717948717952,-0.17948717948717946,0.0,-0.05882352941176472,0.058823529411764705,0.0,3.0,-0.03361344537815125,0.03361344537815128,0.0,0.24789915966386555
12722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12737,0.0,0.0,0.0,-0.6666666666666667,0.6666666666666666,0.0,1.0,-0.6666666666666667,0.6666666666666666,0.0,0.6666666666666666
12484,-0.033333333333333326,0.033333333333333326,0.0,-0.16666666666666674,0.25,-0.08333333333333333,9.0,-0.09523809523809523,-0.23809523809523808,0.3333333333333333,-0.30952380952380953
